ax,ay,az,gx,gy,gz,activity
8.8600,-2.0249,-2.6009,3.7841,6.1645,0.4272,1
8.9312,-2.6183,-2.6787,-2.6855,3.4789,2.3193,1
8.8630,-2.9784,-2.6841,-7.1410,0.8544,3.2348,1
8.7475,-3.0765,-2.9551,-8.3617,-1.9531,3.2348,1
8.7936,-3.1226,-3.1986,-7.5073,-3.2348,3.1127,1
8.8163,-3.2781,-3.4313,-4.5165,-1.8310,1.9531,1
8.5800,-3.4689,-3.6909,-3.1127,-2.0751,1.6479,1
8.3766,-3.5072,-3.7286,0.8544,0.0610,-1.1596,1
8.2331,-3.4689,-3.5820,3.7231,0.6713,-2.6245,1
8.2839,-3.2081,-3.6077,6.1645,0.6713,-2.8076,1
8.4783,-2.9539,-3.5802,6.1034,-1.9531,-3.2958,1
8.5633,-2.7391,-3.5635,3.4789,2.3193,-2.5634,1
8.6877,-2.8486,-3.3152,2.5634,1.5869,-1.5258,1
8.7451,-2.8079,-3.2135,1.3427,1.4038,0.6103,1
8.6997,-2.5579,-3.0592,-1.2817,0.9155,2.6245,1
8.6039,-2.4717,-2.9712,-6.6528,-1.8920,4.6996,1
8.5956,-2.6392,-2.7924,-11.5966,-3.1738,3.2958,1
8.6757,-2.8600,-2.7445,-13.7328,-3.6621,2.5024,1
8.6333,-2.8516,-2.6739,-15.6249,-3.9672,2.3193,1
8.5495,-2.8671,-2.5369,-16.7846,-5.6762,2.1972,1
8.7176,-2.9126,-2.6428,-17.3949,-5.9203,0.2441,1
8.8558,-3.1423,-2.6470,-15.6249,-3.4179,-4.0893,1
8.8085,-3.2045,-2.7194,-14.3432,-2.6855,-5.9203,1
8.9880,-3.2614,-2.8271,-13.4277,-5.0659,-4.8828,1
9.0723,-3.4815,-3.2596,-10.1318,-6.1645,-4.6996,1
9.6364,-4.1880,-4.2400,2.3803,-9.6435,0.1831,1
8.9964,-4.0941,-3.7525,14.0380,-7.0800,3.9672,1
8.1278,-2.9377,-2.7960,14.8925,-10.5590,7.2021,1
7.8753,-2.6775,-2.5196,11.2914,-18.4325,8.2397,1
8.4753,-2.4963,-2.7565,7.9955,-16.9066,9.5214,1
8.6608,-3.0484,-3.4983,0.2441,-16.1742,4.5165,1
8.4879,-3.1220,-3.7286,-4.0893,-19.3480,0.1831,1
8.0656,-2.9078,-4.1527,-2.0141,-21.9115,-1.5869,1
8.0333,-3.1501,-4.5110,2.1362,-37.4754,-2.6245,1
8.2678,-3.5108,-4.6713,6.3476,-39.3675,-4.1503,1
8.1571,-3.6011,-5.0650,8.6059,-22.8270,-10.0097,1
8.2217,-3.2775,-5.0967,7.3242,-5.2490,-15.3197,1
7.9962,-2.6338,-4.8759,7.7514,4.5776,-15.0756,1
8.0117,-2.5256,-4.7144,9.2162,6.7748,-10.3149,1
8.1068,-2.5004,-4.4093,12.4511,3.4179,-6.4697,1
7.8442,-2.6464,-4.4380,13.7328,-5.7983,-2.2582,1
7.6887,-2.6626,-4.5661,10.1318,-16.1742,2.8076,1
7.5505,-2.6327,-4.9842,6.1645,-19.4091,6.7138,1
7.6851,-2.5375,-4.7892,-1.0986,-6.7138,8.9721,1
7.8580,-2.6536,-4.6468,-3.6621,-1.3427,8.3007,1
7.9878,-2.4400,-4.7222,-8.7890,4.5776,7.6293,1
8.2139,-2.4753,-4.2711,-8.6059,7.8124,9.3383,1
8.8486,-2.6338,-3.8967,-5.0048,7.0190,7.6293,1
9.0819,-2.5387,-3.8985,2.8686,0.9155,6.3476,1
9.3272,-2.4574,-3.4749,3.5400,-6.7748,3.6010,1
9.1573,-2.2211,-3.7375,8.6059,-9.6435,-4.8217,1
9.3284,-2.3288,-4.1413,9.7656,-3.6621,-9.9487,1
8.8253,-2.4089,-3.9684,10.0707,1.4038,-12.1459,1
8.5328,-2.4418,-3.8219,14.4652,2.9296,-13.3666,1
8.2803,-2.4364,-3.9230,18.8598,3.6010,-12.2680,1
8.0751,-2.5836,-4.4004,26.0619,9.6435,-6.7748,1
8.0590,-3.1794,-4.9286,25.6347,11.2914,0.3051,1
9.3649,-4.1826,-4.9830,20.6908,16.2963,-2.6245,1
9.1794,-3.8009,-4.5954,1.5869,1.7700,-28.5033,1
6.7459,-2.5393,-4.7401,0.4272,-9.3383,-13.2445,1
6.4815,-3.0981,-4.2556,12.6952,-10.4369,0.9765,1
7.2382,-4.2143,-4.4925,31.3109,-16.2963,2.3803,1
8.2672,-4.2472,-4.7551,39.2455,-10.0707,-8.7890,1
8.0949,-3.0693,-4.2783,42.9076,6.0424,-22.6439,1
8.0004,-2.5256,-3.7106,42.6634,6.3476,-15.0146,1
8.2767,-2.7326,-3.8799,38.0248,-3.0517,-9.2162,1
8.7140,-3.1854,-4.2705,27.0385,-6.5917,-6.7138,1
8.6470,-3.4157,-4.2424,20.7518,-6.5307,-7.6293,1
7.8442,-3.4618,-3.6364,16.4794,-7.3242,-6.4697,1
7.6845,-3.5072,-3.5072,19.4091,-11.6576,-1.4038,1
7.8646,-3.9284,-3.7788,24.1698,-13.9770,0.1220,1
7.8831,-4.1180,-3.8973,31.3109,-12.7563,-3.1738,1
7.8173,-4.1365,-4.0869,34.9120,-12.4511,-7.5683,1
7.8783,-4.0725,-3.9505,44.2503,-14.0380,-10.9862,1
8.2456,-4.0528,-4.1001,52.6732,-16.9066,-10.0707,1
8.3036,-3.7202,-4.0259,55.0535,-16.4184,-13.3056,1
8.2157,-3.5192,-3.9535,53.2225,-20.3246,-14.7094,1
8.2456,-3.2338,-4.0013,50.7811,-21.3622,-14.4652,1
8.3688,-3.3176,-3.9708,46.4476,-18.3715,-14.2211,1
8.3760,-3.2488,-3.7938,43.3958,-13.4887,-13.5497,1
8.3659,-3.0789,-3.8021,40.8324,-13.4887,-12.0238,1
8.4370,-2.8785,-3.8967,35.5834,-12.9394,-9.3383,1
8.4747,-2.9174,-3.8494,30.7006,-10.5590,-8.2397,1
8.4472,-2.8079,-3.7585,22.4608,-4.8828,-5.3710,1
8.6267,-2.8067,-3.5838,13.6718,-2.5024,-1.8310,1
8.5597,-2.6973,-3.6586,8.4228,-2.2582,0.2441,1
8.4532,-2.9647,-3.7112,2.9296,-1.5869,3.4179,1
8.3485,-3.3056,-3.6801,0.3051,-1.2207,5.4321,1
8.3850,-3.4929,-3.9601,-3.9062,-2.1972,6.7748,1
8.4305,-3.7022,-3.9547,-9.0331,1.0986,5.2490,1
8.2749,-3.5772,-3.8536,-11.8407,2.2582,3.8452,1
8.1714,-3.5706,-3.8333,-13.8549,2.7465,3.7841,1
8.1948,-3.4935,-3.9672,-14.1601,3.4789,4.3334,1
8.1272,-3.6215,-4.0791,-13.9770,4.7607,3.7841,1
8.0219,-3.6675,-4.0426,-13.1835,6.4697,2.2582,1
7.9226,-3.8261,-3.9996,-12.6342,5.8593,1.4038,1
8.0189,-3.9397,-4.0779,-9.0942,6.9579,0.2441,1
8.1750,-3.7351,-4.1688,-6.4697,10.0097,0.9155,1
8.1720,-3.6376,-4.0552,-4.9438,13.2445,-2.2582,1
8.2307,-3.5359,-4.0576,-4.0893,12.4511,-3.6621,1
8.5244,-3.5336,-3.8733,-4.4555,12.2069,-4.3334,1
8.4927,-3.5916,-3.8644,-3.1127,11.9628,-8.7890,1
8.3868,-3.5569,-3.8344,0.9155,9.8266,-10.3759,1
8.3766,-3.6999,-3.8590,3.7841,7.1410,-11.4135,1
8.3443,-3.5042,-3.8404,6.5917,10.1928,-14.0990,1
8.1116,-2.8534,-3.6023,9.8266,11.5966,-14.1601,1
8.4245,-3.1597,-3.7698,11.5356,12.6952,-13.1835,1
8.2504,-3.2530,-3.3672,17.8832,15.0756,-11.2914,1
8.3013,-3.1423,-3.1800,20.9350,12.7563,-9.5824,1
8.4574,-2.9551,-3.1734,23.3764,7.6904,-4.3334,1
8.6769,-2.9605,-3.3702,22.2167,5.5541,-2.0751,1
8.6668,-3.1603,-3.6580,15.7470,2.6855,-1.6479,1
8.5591,-3.4552,-3.7232,11.1083,0.5493,-1.4648,1
8.3994,-3.4815,-3.7645,10.4369,1.0986,-1.6479,1
8.3491,-3.3834,-3.8129,10.1318,1.7700,-2.6245,1
8.1409,-3.1513,-3.6741,9.7045,3.6621,-1.8310,1
8.2031,-3.0927,-3.6741,9.5214,3.7841,2.5634,1
8.1439,-3.0478,-4.0630,4.3945,5.1269,7.6904,1
8.7278,-3.7226,-3.8315,0.8544,6.7748,10.5590,1
8.5555,-4.0761,-3.9278,-10.9252,-6.0424,6.1645,1
7.8574,-4.3698,-3.8225,-14.6484,-7.8735,6.6528,1
7.6851,-4.1599,-4.1958,-17.7611,-15.6249,2.5634,1
7.5032,-3.9308,-4.2640,-17.3949,-14.8925,1.7089,1
7.6253,-3.7154,-4.1330,-14.8315,-7.0190,0.3662,1
7.5684,-4.0821,-3.8093,-4.8828,-7.8735,-7.1410,1
7.9411,-4.6444,-2.9904,0.6103,-5.4931,-10.6811,1
8.3671,-4.6881,-2.7302,9.9487,-10.9862,-14.7704,1
8.5615,-3.8267,-2.8480,16.2963,-13.7939,-11.1694,1
8.9282,-2.7014,-2.9551,14.7094,-11.5356,-7.4462,1
9.2350,-3.0137,-3.1393,12.7563,-12.3901,-9.2773,1
9.5162,-3.9948,-2.6656,16.2963,-6.8969,-8.7890,1
9.0035,-3.7334,-2.2157,19.8363,-1.2817,-9.2773,1
8.6398,-2.8043,-2.3790,25.1464,-6.2255,-7.6904,1
9.0245,-2.6051,-2.2899,27.9540,-15.0756,-4.0893,1
9.0861,-2.9330,-2.4293,26.9774,-15.3197,-3.6621,1
8.8767,-3.2213,-2.3066,28.4423,-13.6108,-5.4931,1
8.7930,-2.8504,-2.4281,28.2592,-9.7045,-8.1176,1
8.8468,-2.5890,-2.5094,24.4750,-9.8266,-9.0331,1
8.8863,-2.6015,-2.2055,23.4984,-4.3334,-11.4135,1
8.7403,-2.5465,-2.2013,17.8222,-13.8549,-13.3666,1
8.9593,-2.8642,-2.3748,15.4418,-4.6386,-15.8690,1
9.3260,-3.2279,-2.6925,13.2445,-4.9438,-15.5028,1
9.0382,-3.4833,-3.0059,16.9066,-7.8124,-12.3901,1
9.0257,-3.6352,-3.6023,20.0194,-6.6528,-10.1318,1
8.6793,-3.7974,-3.5222,23.0101,-6.2866,-8.7890,1
8.7774,-3.2602,-3.3014,23.6205,-1.4038,-6.3476,1
8.4478,-2.6769,-3.2871,17.2118,2.6855,-5.9203,1
8.6955,-2.5986,-3.1226,7.6293,6.7138,-3.4789,1
9.1938,-2.4957,-2.8289,0.0000,10.7421,-3.2348,1
9.0293,-2.3802,-2.7541,-11.2304,13.9159,-3.8452,1
8.8528,-2.3192,-2.6650,-17.6391,6.6528,2.9296,1
8.4699,-2.3856,-2.9162,-21.1791,1.5258,7.9345,1
8.4915,-2.7236,-3.1992,-24.5360,0.8544,12.0849,1
8.7278,-3.2973,-3.0783,-24.4750,0.9155,11.0473,1
8.4676,-3.4474,-3.0538,-22.0946,3.2348,7.8735,1
8.2899,-3.2769,-3.1334,-20.2025,5.9814,7.9345,1
9.0012,-3.0005,-3.2147,-19.3480,12.0849,6.0424,1
8.9545,-2.7768,-3.0245,-24.7802,21.3012,3.8452,1
9.0215,-2.4281,-2.9617,-31.3109,20.6298,6.7748,1
9.0747,-2.7511,-2.7990,-38.5130,22.0336,15.1366,1
8.9952,-2.8791,-2.6147,-40.2831,19.1649,21.7894,1
8.7792,-3.2338,-2.3994,-39.2455,14.3432,24.2919,1
8.6703,-3.2943,-2.3413,-38.1468,9.5214,26.7333,1
8.8917,-3.0436,-2.3515,-39.1844,5.0048,29.4188,1
8.8899,-2.8683,-2.5142,-42.9076,5.6762,31.4940,1
8.7050,-2.9682,-2.4311,-46.7528,6.1645,29.1747,1
8.0362,-3.3188,-2.1583,-47.0579,3.2348,26.7333,1
8.2492,-3.5276,-2.0985,-46.1424,0.7934,22.1557,1
8.6739,-3.7639,-2.6452,-43.3958,1.4038,18.6156,1
9.2398,-3.5533,-2.8223,-38.6961,8.2397,13.7328,1
9.6161,-3.0723,-3.1764,-36.6820,13.4277,14.6484,1
10.1347,-3.5497,-3.7387,-31.6771,17.0897,16.9677,1
9.5718,-3.7064,-3.6646,-27.1605,26.3671,23.3153,1
8.3174,-3.7244,-2.8295,-32.3485,18.1273,23.6815,1
8.1056,-3.3218,-3.0753,-39.4896,14.2821,26.1840,1
7.8083,-3.4444,-3.4672,-45.1048,3.6010,22.3998,1
8.1876,-3.6119,-4.2640,-48.1566,0.4882,21.2401,1
8.0919,-3.7686,-4.3292,-47.3631,3.7231,16.6625,1
7.6211,-4.0905,-4.5409,-45.1048,1.6479,14.6484,1
7.3178,-4.3698,-4.3968,-37.7196,-1.6479,13.0004,1
7.6833,-4.2239,-4.4500,-32.1044,0.5493,6.1645,1
7.8239,-3.9463,-4.4733,-30.9447,5.4931,0.9765,1
7.7120,-3.6879,-4.3806,-30.6395,7.5683,-5.6152,1
7.7258,-3.2673,-4.5595,-30.7006,8.5448,-5.0659,1
7.2514,-3.0340,-4.7581,-33.3251,4.5776,0.7934,1
7.2053,-3.0137,-4.8460,-35.9496,1.8310,5.3100,1
7.3848,-3.3266,-4.4267,-34.9730,0.2441,9.8266,1
7.6893,-3.3852,-4.2885,-30.2123,6.0424,12.3901,1
8.1457,-3.5090,-4.0540,-25.4515,10.1928,11.2304,1
8.9192,-3.7351,-4.2406,-16.7846,9.3383,6.5307,1
9.1286,-3.6335,-4.1682,-6.7748,6.8359,2.0751,1
8.8773,-3.3493,-4.1288,-4.3945,4.7607,-1.5258,1
8.5351,-3.2823,-3.9996,-3.6621,3.4179,-7.9955,1
8.0350,-3.2482,-3.7776,-1.6479,1.0986,-9.3993,1
7.8382,-3.3397,-3.9308,5.1879,-5.6762,-11.1694,1
8.1254,-3.1184,-4.1341,10.3759,-9.1552,-12.0238,1
7.9698,-2.6123,-4.1216,12.5121,-6.8359,-11.7797,1
8.0039,-2.4424,-4.0414,13.4277,-7.8124,-6.5917,1
8.2061,-2.3533,-4.3399,9.0942,-7.0190,-4.0893,1
8.6231,-2.4197,-4.6079,3.4789,-7.1410,-2.3803,1
